"nome","resumo","coordenador"
"LEITURAS NA ESCOLA: ARQUIVOS PEDAGÓGICOS DIGITAIS E PROPOSTAS DE ATIVIDADES","Em breve este conteúdo estará disponível.","Andrea Rodrigues "
"TRADUÇÃO LÍNGUAS E ENSINO RELAÇÕES INTERSEMIÓTICAS ETAPA ENSINO","Em breve este conteúdo estará disponível.","Carmem Lucia Pereira Praxedes "
"LIBRAS FORMAÇÃO DE PROFESSORES DE LETRAS E PRÁTICAS PEDAGÓGICAS PLURILÍNGUES","Em breve este conteúdo estará disponível.","Elissandra Lourenço Perse "
"EFEITOS DE SENTIDO DAS PRÁTICAS DE ENSINO DA LEITURA E DA ESCRITA NA ESCOLA","Em breve este conteúdo estará disponível.","Juciele Pereira Diss "
"LINGUAGEM TECNOLOGIA E EDUCAÇÃO: ESPAÇOS DE SOCIALIZAÇÃO DO CONHECIMENTO","Em breve este conteúdo estará disponível.","Juciele Pereira Diss "
"NEUROCIÊNCIA DA LINGUAGEM: PROPOSTAS EDUCACIONAIS","Em breve este conteúdo estará disponível.","Marcos Luiz Wiedemer "
"MONITORIA: LINGUÍSTICA IV - LINGUAGEM E COGNIÇÃO","Em breve este conteúdo estará disponível.","Marina Rosa Ana Augusto "
"LINGUÍSTICA E ENSINO","Em breve este conteúdo estará disponível.","Quezia Dos Santos Lopes Oliveira "
"LETRAMENTOS NA PRÁTICA DOCENTE: UMA PROPOSTA DE PRODUÇÃO AUDIOVISUAL","Em breve este conteúdo estará disponível.","Renê Alberto Moritz Da Silva e Forster "
